"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_2005","regionflow_2006","regionflow_2007","regionflow_2008","regionflow_2009","regionflow_2010","regionflow_2011","regionflow_2012","regionflow_2013","regionflow_2014","regionflow_2015","regionflow_2016","regionflow_2017","origin_iso","origin_name","destination_iso","destination_name","countryflow_2005","countryflow_2006","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015","countryflow_2016","countryflow_2017","origin_show","destination_show"
12,Basel-Stadt,100,Übrige Schweiz,5062,4940,5147,4809,4616,4334,4428,4047,4163,4181,4490,4474,4245,1,Altstadt Grossbasel,OW,OW,0,0,2,0,1,1,0,0,0,0,0,0,0,1,1
12,Basel-Stadt,101,Übriges Europa,479,563,472,474,514,448,540,534,475,487,573,609,572,1,Altstadt Grossbasel,Oesterreich,Oesterreich,0,0,0,0,2,0,0,1,0,0,0,0,1,1,1
12,Basel-Stadt,105,AS - Asien,108,125,115,81,109,88,126,106,128,109,119,99,91,1,Altstadt Grossbasel,Philippinen,Philippinen,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
12,Basel-Stadt,100,Übrige Schweiz,5062,4940,5147,4809,4616,4334,4428,4047,4163,4181,4490,4474,4245,1,Altstadt Grossbasel,SG,SG,1,3,1,2,3,3,1,0,1,0,5,0,1,1,1
12,Basel-Stadt,100,Übrige Schweiz,5062,4940,5147,4809,4616,4334,4428,4047,4163,4181,4490,4474,4245,1,Altstadt Grossbasel,SH,SH,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1
12,Basel-Stadt,100,Übrige Schweiz,5062,4940,5147,4809,4616,4334,4428,4047,4163,4181,4490,4474,4245,1,Altstadt Grossbasel,SO,SO,3,6,4,2,2,1,2,4,3,2,4,2,3,1,1
12,Basel-Stadt,100,Übrige Schweiz,5062,4940,5147,4809,4616,4334,4428,4047,4163,4181,4490,4474,4245,1,Altstadt Grossbasel,SZ,SZ,1,0,0,2,0,2,0,0,1,0,0,1,2,1,1
12,Basel-Stadt,101,Übriges Europa,479,563,472,474,514,448,540,534,475,487,573,609,572,1,Altstadt Grossbasel,Schweden,Schweden,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
12,Basel-Stadt,101,Übriges Europa,479,563,472,474,514,448,540,534,475,487,573,609,572,1,Altstadt Grossbasel,SerbienBFS,Serbien BFS,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1
12,Basel-Stadt,101,Übriges Europa,479,563,472,474,514,448,540,534,475,487,573,609,572,1,Altstadt Grossbasel,Spanien,Spanien,1,2,0,0,0,0,0,0,0,0,0,3,0,1,1
12,Basel-Stadt,104,A - Afrika,44,54,29,29,28,44,28,33,20,30,29,30,32,1,Altstadt Grossbasel,Südafrika,Südafrika,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1
12,Basel-Stadt,100,Übrige Schweiz,5062,4940,5147,4809,4616,4334,4428,4047,4163,4181,4490,4474,4245,1,Altstadt Grossbasel,TG,TG,0,0,3,0,1,1,1,0,0,1,1,2,0,1,1
